sample_id,sample_type,top_bottom,latitude,longitude,mountain_range,depth_cm,site_name,notes
Calder.HW0120L,sediment,,,,,,,
Calder.LB0100L,sediment,,,,,,,
Calder.LB0104L,sediment,,,,,,,
Calder.LB0202L,sediment,,,,,,,
Calder.LB0204L,sediment,,,,,,,
Calder.LB0216L,sediment,,,,,,,
Calder.LB0218L,sediment,,,,,,,
Calder.LB0220L,sediment,,,,,,,
Calder.LL0100L,sediment,,,,,,,
Calder.LL0118L,sediment,,,,,,,
Calder.LL0200L,sediment,,,,,,,
Calder.LL0202L,sediment,,,,,,,
Calder.LL0216L,sediment,,,,,,,
Calder.LL0218L,sediment,,,,,,,
Calder.LL0220L,sediment,,,,,,,
Calder.LL0300L,sediment,,,,,,,
Calder.LL0302L,sediment,,,,,,,
Calder.LL0304L,sediment,,,,,,,
Calder.LL0316L,sediment,,,,,,,
Calder.LL0318L,sediment,,,,,,,
Calder.LL0320L,sediment,,,,,,,
Calder.LL0442L,sediment,,,,,,,
Calder.LL0446L,sediment,,,,,,,
Calder.LS0100L,sediment,,,,,,,
Calder.LS0102L,sediment,,,,,,,
Calder.LS0106L,sediment,,,,,,,
Calder.LS0108L,sediment,,,,,,,
Calder.LS0132L,sediment,,,,,,,
Calder.LW0100L,sediment,,,,,,,
Calder.LW0102L,sediment,,,,,,,
Calder.LW0104L,sediment,,,,,,,
Calder.LW0116L,sediment,,,,,,,
Calder.LW0118L,sediment,,,,,,,
Calder.LW0120L,sediment,,,,,,,
Calder.ML0200L,sediment,,,,,,,
Calder.ML0202L,sediment,,,,,,,
Calder.ML0204L,sediment,,,,,,,
Calder.ML0216L,sediment,,,,,,,
Calder.ML0218L,sediment,,,,,,,
Calder.NB0100L,sediment,,,,,,,
Calder.NB0105L,sediment,,,,,,,
Calder.RL0200L,sediment,,,,,,,
Calder.RL0202L,sediment,,,,,,,
Calder.SG0100L,sediment,,,,,,,
Calder.SG0102L,sediment,,,,,,,
Calder.SR0100L,sediment,,,,,,,
Calder.SR0116L,sediment,,,,,,,
Calder.SR0118L,sediment,,,,,,,
Calder.SR0120L,sediment,,,,,,,
Calder.SV0200L,sediment,,,,,,,
Calder.SV0202L,sediment,,,,,,,
Calder.SV0204L,sediment,,,,,,,
Calder.SV0216L,sediment,,,,,,,
Calder.SV0218L,sediment,,,,,,,
Calder.SV0220L,sediment,,,,,,,
Calder.SV0300L,sediment,,,,,,,
Calder.SV0302L,sediment,,,,,,,
Calder.SV0304L,sediment,,,,,,,
Calder.SV0316L,sediment,,,,,,,
Calder.SV0318L,sediment,,,,,,,
Calder.SV0320L,sediment,,,,,,,
Calder.SV0400L,sediment,,,,,,,
Calder.SV0402L,sediment,,,,,,,
Calder.SV0416L,sediment,,,,,,,
Calder.SV0420L,sediment,,,,,,,
Calder.BN0105L,sediment,,,,,,,
Calder.ML0104L,sediment,,,,,,,
