"","sample_comparison","comm"
"182","peat-sediment",0.0166698785893236
"183","peat-sediment",0.0169589516284447
"184","soil-sediment",0.00356523414916166
"185","soil-sediment",0.00308344575062636
"186","sediment",0.0629215648487185
"187","peat-sediment",0.00558874542301024
"188","sediment",0.136827905184043
"189","peat-sediment",0.0169589516284447
"190","soil-sediment",0.00279437271150507
"191","peat-sediment",0.0259202158412025
"192","peat-sediment",0.0185006745037579
"193","soil-sediment",0.00395066486799001
"194","sediment",0.291192908074774
"195","peat-sediment",0.0265947195991521
"196","soil-sediment",0.000867219117363649
"197","peat-sediment",0.0168625939487377
"198","sediment",0.0924070148390826
"199","sediment",0.143380227404124
"200","sediment",0.187030256311428
"201","peat-sediment",0.0140682212372326
"202","sediment",0.0831566775872037
"203","sediment",0.297937945654269
"204","peat-sediment",0.0190788205820004
"205","peat-sediment",0.014550009635768
"206","peat-sediment",0.00404702254769707
"207","sediment",0.189342840624398
"208","peat-sediment",0.0288109462324148
"209","soil-sediment",0.00279437271150507
"210","sediment",0.0394102910001927
"211","sediment",0.0300635960686066
"212","peat-sediment",0.0263056465600309
"213","sediment",0.187030256311428
"214","sediment",0.124879552900366
"215","peat-sediment",0.0270765079976875
"216","soil-sediment",0.00462516862593954
"217","sediment",0.180188861052226
"218","peat-sediment",0.0108884178068992
"219","sediment",0.189150125264984
"220","sediment",0.0934669493158605
"221","sediment",0.0124301406822124
"222","sediment",0.0293890923106571
"223","sediment",0.175081904027751
"224","peat-sediment",0.0170553093081519
"225","sediment",0.22711505106957
"226","peat-sediment",0.0183079591443438
"227","soil-sediment",0.00337251878974754
"228","peat-sediment",0.0161880901907882
"229","peat-sediment",0.0661977259587589
"230","sediment",0.0563692426286375
"231","peat-sediment",0.065041433802274
"232","sediment",0.0914434380420119
"233","soil-sediment",0.00260165735209095
"234","peat-sediment",0.00857583349392943
"235","soil-sediment",0.00385430718828295
"236","peat-sediment",0.0074195413374446
"237","sediment",0.0624397764501831
"238","sediment",0.309308151859703
"239","peat-sediment",0.00655232222008095
"240","peat-sediment",0.0125264983619194
"241","soil-sediment",0.00163808055502024
"242","soil-sediment",0.0163808055502024
"243","sediment",0.282520716901137
"244","sediment",0.0770861437656581
"245","sediment",0.205049142416651
"246","peat-sediment",0.0272692233571016
"247","peat-sediment",0.0707265369049913
"248","peat-sediment",0.0210059741761418
"249","peat-sediment",0.00423973790711119
"250","sediment",0.116785507804972
"251","peat-sediment",0.088841780689921
"252","peat-sediment",0.00134900751589906
"253","peat-sediment",0.00693775293890919
"254","peat-sediment",0.010599344767778
"255","peat-sediment",0.00587781846213142
"256","peat-sediment",0.0116592792445558
"257","sediment",0.0730391212179611
"258","peat-sediment",0.0492387743303141
"259","peat-sediment",0.010502987088071
"260","peat-sediment",0.0101175563692426
"261","peat-sediment",0.0201387550587782
"262","sediment",0.0183079591443438
"263","sediment",0.0179225284255156
"264","peat-sediment",0.00356523414916166
"265","sediment",0.0895162844478705
"266","soil-sediment",0.0047215263056466
"267","peat-sediment",9.63576797070598e-05
"268","peat-sediment",0.0169589516284447
"269","peat-sediment",0.00809404509539413
"270","peat-sediment",0.00867219117363649
"271","sediment",0.205338215455772
"272","sediment",0.128444787049528
"273","sediment",0.0787242243206784
"274","peat-sediment",0.00876854885334366
"275","sediment",0.0955868182694161
"276","peat-sediment",0.015899017151667
"277","soil-sediment",0.00520331470418189
"278","sediment",0.00828676045480825
"279","sediment",0.355559838119098
"280","sediment",0.45721719021006
"281","peat-sediment",0.0419155906725766
"282","soil-sediment",0.00279437271150507
"283","peat-sediment",0.00992484100982849
"284","sediment",0.165060705338215
"285","sediment",0.137887839660821
"286","peat-sediment",0.00019271535941412
"287","peat-sediment",0.0149354403545963
"288","soil-sediment",0.0034688764694546
"289","peat-sediment",0.0207169011370206
"290","sediment",0.136731547504336
"291","sediment",0.0589708999807285
"292","soil-sediment",0.00366159182886872
"293","peat-sediment",0.00876854885334366
"294","soil-sediment",0.00308344575062636
"295","peat-sediment",0.0957795336288302
"296","sediment",0.0458662555405666
"297","sediment",0.0111774908460204
"298","peat-sediment",0.00664867989978801
"299","peat-sediment",0.00597417614183848
"300","peat-sediment",0.00982848333012143
"301","peat-sediment",0.0241857776064752
"302","sediment",0.106282520716901
"303","sediment",0.220948159568318
"304","peat-sediment",0.0127192137213336
"305","sediment",0.0639814993254962
"306","peat-sediment",0.0465407592985161
"307","peat-sediment",0.00269801503179801
"308","sediment",0.0311235305453844
"309","peat-sediment",0.0170553093081519
"310","peat-sediment",0.00819040277510119
"311","peat-sediment",0.0124301406822124
"312","soil-sediment",0.00250529967238389
"313","sediment",0.137309693582578
"314","sediment",0.119001734438235
"315","peat-sediment",0.0249566390441318
"316","peat-sediment",0.0205241857776065
"317","soil-sediment",0.00462516862593954
"318","soil-sediment",0.00520331470418189
"319","peat-sediment",0.104837155521295
"320","peat-sediment",0.0271728656773945
"321","sediment",0.111485835421083
"322","peat-sediment",0.0158026594719599
"323","peat-sediment",0.0206205434573136
"324","soil-sediment",0.00433609558681824
"325","peat-sediment",0.00491424166506071
"326","sediment",0.0106957024474851
"327","peat-sediment",0.0459626132202736
"328","soil-sediment",0.0044324532665253
"329","peat-sediment",0.00992484100982849
"330","sediment",0.365870109847755
"331","sediment",0.265465407592985
"332","soil-sediment",0.00144536519560612
"333","peat-sediment",0.00847947581422237
"334","peat-sediment",0.0144536519560609
"335","sediment",0.117267296203507
"336","peat-sediment",0.0343996916554249
"337","sediment",0.0462516862593949
"338","sediment",0.00269801503179801
"339","sediment",0.104740797841588
"340","peat-sediment",0.0350741954133744
"341","soil-sediment",0.00250529967238389
"342","peat-sediment",0.030449026787435
"343","soil-sediment",0.00857583349392943
"344","peat-sediment",0.0163808055502024
"345","peat-sediment",0.0456735401811524
"346","sediment",0.0565619579880516
"347","sediment",0.0300635960686066
"348","soil-sediment",0.00289073039121213
"349","peat-sediment",0.0292927346309501
"350","peat-sediment",0.00626324918095977
"351","soil-sediment",0.00231258431296977
"352","soil-sediment",0.00327616111004048
"353","peat-sediment",0.0312198882250916
"354","sediment",0.0947195991520524
"355","sediment",0.151570630179225
"356","peat-sediment",0.0206205434573136
"357","peat-sediment",0.0176334553863943
"358","peat-sediment",0.00992484100982849
"359","sediment",0.293409134708036
"360","soil-sediment",0.00452881094623236
"361","peat-sediment",0.0392175756407785
"362","soil-sediment",0.00289073039121213
"363","peat-sediment",0.0104066294083639
"364","sediment",0.0586818269416073
"365","peat-sediment",0.029196376951243
"366","peat-sediment",0.0179225284255156
"367","soil-sediment",0.00501059934476777
"368","sediment",0.071690113702062
"369","peat-sediment",0.023800346887647
"370","sediment",0.187126613991135
"371","soil-sediment",0.0104066294083639
"372","sediment",0.124301406822124
"373","peat-sediment",0.0188861052225863
"374","peat-sediment",0.00703411061861625
"375","sediment",0.0448063210637888
"376","sediment",0.208614376565812
"377","sediment",0.379456542686452
"378","soil-sediment",0.00558874542301024
"379","sediment",0.115147427249952
"380","peat-sediment",0.0906725766043553
"381","soil-sediment",0.00250529967238389
"382","peat-sediment",0.000289073039121179
"383","soil-sediment",0.0017344382347273
"384","soil-sediment",0.0029870880709193
"385","peat-sediment",0.0128155714010406
"386","peat-sediment",0.0179225284255156
"387","peat-sediment",0.00452881094623236
"388","soil-sediment",0.00395066486799001
"389","sediment",0.39631913663519
"390","peat-sediment",0.0101175563692426
"391","sediment",0.105222586240123
"392","peat-sediment",0.00317980343033342
"393","soil-sediment",0.00385430718828295
"394","peat-sediment",0.0149354403545963
"395","peat-sediment",0.0846984004625169
"396","peat-sediment",0.00925033725187896
"397","peat-sediment",0.0126228560416265
"398","sediment",0.114183850452881
"399","peat-sediment",0.0137791481981114
"400","sediment",0.0295818076700713
"401","sediment",0.137116978223164
"402","peat-sediment",0.0146463673154751
"403","peat-sediment",0.0130082867604548
"404","sediment",0.0787242243206784
"405","soil-sediment",0.00635960686066683
"406","peat-sediment",0.00587781846213142
"407","soil-sediment",0.00192715359414142
"408","soil-sediment",0.00587781846213142
"409","sediment",0.148005396030064
"410","peat-sediment",9.63576797070598e-05
"411","sediment",0.0979957602620929
"412","soil-sediment",0.00501059934476777
"413","sediment",0.260840238967046
"414","sediment",0.0939487377143958
"415","sediment",0.118423588359992
"416","peat-sediment",0.00578146078242436
"417","peat-sediment",0.0101175563692426
"418","peat-sediment",0.0245712083253036
"419","soil-sediment",0.00327616111004048
"420","sediment",0.0941414530738099
"421","peat-sediment",0.0415301599537483
"422","peat-sediment",0.0165735209096165
"423","sediment",0.0415301599537483
"424","sediment",0.123048756985932
"425","peat-sediment",0.00799768741568707
"426","peat-sediment",0.0631142802081326
"427","peat-sediment",0.0126228560416265
"428","peat-sediment",0.0481788398535363
"429","sediment",0.242435922142995
"430","peat-sediment",0.00664867989978801
"431","peat-sediment",0.0476006937752939
"432","soil-sediment",0.00260165735209095
"433","sediment",0.103102717286568
"434","peat-sediment",0.0478897668144151
"435","peat-sediment",0.0593563306995567
"436","peat-sediment",0.021198689535556
"437","peat-sediment",0.0185006745037579
"438","sediment",0.100501059934477
"439","peat-sediment",0.0153208710734245
"440","soil-sediment",0.00269801503179801
"441","peat-sediment",0.00597417614183848
"442","peat-sediment",0.00510695702447483
"443","sediment",0.0951050298708808
"444","peat-sediment",0.0134900751589901
"445","peat-sediment",0.0029870880709193
"446","soil-sediment",0.00317980343033342
"447","sediment",0.0740990556947388
"448","sediment",0.106764309115437
"449","peat-sediment",0.0148390826748892
"450","peat-sediment",0.0337251878974755
"451","peat-sediment",0.0233185584891116
"452","peat-sediment",0.0137791481981114
"453","peat-sediment",0.0174407400269802
"454","peat-sediment",0.00317980343033342
"455","sediment",0.10830603199075
"456","sediment",0.268837926382733
"457","peat-sediment",0.0140682212372326
"458","peat-sediment",0.00925033725187896
"459","sediment",0.385045288109462
"460","sediment",0.407689342840624
"461","sediment",0.336962805935633
"462","peat-sediment",0.0531894391983041
"463","peat-sediment",0.0634997109269608
"464","peat-sediment",0.050395066486799
"465","sediment",0.0215841202543843
"466","peat-sediment",0.0531894391983041
"467","peat-sediment",0.051840431682405
"468","sediment",0.205627288494893
"469","peat-sediment",0.0566583156677587
"470","peat-sediment",0.0155135864328387
"471","peat-sediment",0.0468298323376373
"472","peat-sediment",0.0345924070148391
"473","peat-sediment",0.0208132588167277
"474","sediment",0.101175563692426
"475","peat-sediment",0.0314126035845057
"476","peat-sediment",0.051840431682405
"477","sediment",0.0529003661591829
"478","peat-sediment",0.0975139718635575
"479","sediment",0.250144536519561
"480","peat-sediment",0.0291000192715359
"481","sediment",0.225669685873964
"482","sediment",0.202254769705146
"483","sediment",0.235112738485257
"484","sediment",0.158026594719599
"485","peat-sediment",0.0597417614183851
"486","peat-sediment",0.0819040277510118
"487","peat-sediment",0.0459626132202736
"488","peat-sediment",0.0620543457313548
"489","peat-sediment",0.0659086529196377
"490","sediment",0.18433224127963
"491","peat-sediment",0.0212950472152631
"492","peat-sediment",0.0953941029100019
"493","sediment",0.0939487377143958
"494","sediment",0.0444208903449604
"495","sediment",0.234727307766429
"496","sediment",0.017248024667566
"497","peat-sediment",0.129312006166892
"498","sediment",0.0381576411640008
"499","soil-sediment",0.0164771632299094
"500","peat-sediment",0.0134900751589901
"501","sediment",0.0545384467142032
"502","soil-sediment",0.0207169011370206
"503","soil-sediment",0.021198689535556
"504","peat-sediment",0.0303526691077279
"505","peat-sediment",0.053093081518597
"506","soil-sediment",0.0187897475428792
"507","peat-sediment",0.0279437271150511
"508","peat-sediment",0.0719791867411833
"509","peat-sediment",0.033147041819233
"510","sediment",0.148487184428599
"511","peat-sediment",0.0366159182886876
"512","peat-sediment",0.0578146078242436
"513","sediment",0.242821352861823
"514","peat-sediment",0.0282328001541723
"515","sediment",0.043650028907304
"516","soil-sediment",0.0237039892079399
"517","soil-sediment",0.0170553093081519
"518","peat-sediment",0.050298708807092
"519","peat-sediment",0.0343996916554249
"520","peat-sediment",0.0322798227018694
"521","peat-sediment",0.0608980535748699
"522","sediment",0.0943341684332242
"523","peat-sediment",0.0263056465600309
"524","sediment",0.108595105029871
"525","soil-sediment",0.0184043168240509
"526","soil-sediment",0.0134900751589901
"527","sediment",0.302948544999036
"528","sediment",0.232896511851995
"529","sediment",0.0322798227018694
"530","soil-sediment",0.0239930622470611
"531","sediment",0.140682212372326
"532","soil-sediment",0.0230294854499904
"533","peat-sediment",0.0337251878974755
"534","peat-sediment",0.0456735401811524
"535","peat-sediment",0.0296781653497784
"536","peat-sediment",0.0666795143572942
"537","peat-sediment",0.100790132973598
"538","sediment",0.0241857776064752
"539","peat-sediment",0.0428791674696474
"540","sediment",0.167566005010599
"541","soil-sediment",0.0191751782617074
"542","peat-sediment",0.0351705530930815
"543","peat-sediment",0.0421083060319908
"544","soil-sediment",0.011948352283677
"545","sediment",0.088841780689921
"546","peat-sediment",0.0193678936211216
"547","peat-sediment",0.045191751782617
"548","peat-sediment",0.0324725380612835
"549","peat-sediment",0.0747735594526884
"550","peat-sediment",0.0829639622277896
"551","soil-sediment",0.0196569666602429
"552","peat-sediment",0.0326652534206976
"553","sediment",0.141356716130276
