Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),,sample_id,,,Tann,Tmin,Tmax,MAP
SG1A,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG1A,1,,2.2,-5.2,9.5,530.23
SG1B,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG1B,1,,2.2,-5.2,9.5,530.23
SG2A,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG2A,1,,2.2,-5.2,9.5,530.23
SG2B,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG2B,1,,2.2,-5.2,9.5,530.23
SG3A,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG3A,1,,2.2,-5.2,9.5,530.23
SG3B,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG3B,1,,2.2,-5.2,9.5,530.23
SG4A,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG4A,1,,2.2,-5.2,9.5,530.23
SG4B,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG4B,1,,2.2,-5.2,9.5,530.23
SG5A,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG5A,1,,2.2,-5.2,9.5,530.23
SG5B,-107.2523,37.988,3244,Annual,530.23,-5.2,2.2,9.5,,SG5B,1,,2.2,-5.2,9.5,530.23
CP1A,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP1A,1,,1,-6.4,8.4,655.69
CP1B,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP1B,1,,1,-6.4,8.4,655.69
CP2A,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP2A,1,,1,-6.4,8.4,655.69
CP2B,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP2B,1,,1,-6.4,8.4,655.69
CP3A,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP3A,1,,1,-6.4,8.4,655.69
CP3B,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP3B,1,,1,-6.4,8.4,655.69
CP4A,-106.4486,38.8436,3264,Annual,655.69,-6.4,1,8.4,,CP4A,1,,1,-6.4,8.4,655.69
TX1B,-106.4582,38.8638,3055,Annual,591.27,-7.3,1.2,9.7,,TX1B,1,,1.2,-7.3,9.7,591.27
TX2B,-106.4582,38.8638,3055,Annual,591.27,-7.3,1.2,9.7,,TX2B,1,,1.2,-7.3,9.7,591.27
TX3A,-106.4582,38.8638,3055,Annual,591.27,-7.3,1.2,9.7,,TX3A,1,,1.2,-7.3,9.7,591.27
TX3B,-106.4582,38.8638,3055,Annual,591.27,-7.3,1.2,9.7,,TX3B,1,,1.2,-7.3,9.7,591.27
TX4A,-106.4582,38.8638,3055,Annual,591.27,-7.3,1.2,9.7,,TX4A,1,,1.2,-7.3,9.7,591.27
TX4B,-106.4582,38.8638,3055,Annual,591.27,-7.3,1.2,9.7,,TX4B,1,,1.2,-7.3,9.7,591.27
TP1A,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP1A,1,,1.5,-7.2,10.2,557.16
TP1B,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP1B,1,,1.5,-7.2,10.2,557.16
TP2A,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP2A,1,,1.5,-7.2,10.2,557.16
TP2B,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP2B,1,,1.5,-7.2,10.2,557.16
TP3A,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP3A,1,,1.5,-7.2,10.2,557.16
TP3B,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP3B,1,,1.5,-7.2,10.2,557.16
TP4B,-106.5785,38.9047,2940,Annual,557.16,-7.2,1.5,10.2,,TP4B,1,,1.5,-7.2,10.2,557.16
CR2B,-108.1135,38.9784,3071,Annual,861.5,-3.9,2.3,8.5,,CR2B,1,,2.3,-3.9,8.5,861.5
CR3B,-108.1135,38.9784,3071,Annual,861.5,-3.9,2.3,8.5,,CR3B,1,,2.3,-3.9,8.5,861.5
CR4B,-108.1135,38.9784,3071,Annual,861.5,-3.9,2.3,8.5,,CR4B,1,,2.3,-3.9,8.5,861.5
GM1A,-108.0504,39.0307,3255,Annual,1188.77,-5.1,1,7.2,,GM1A,1,,1,-5.1,7.2,1188.77
GM1B,-108.0504,39.0307,3255,Annual,1188.77,-5.1,1,7.2,,GM1B,1,,1,-5.1,7.2,1188.77
GM2A,-108.0504,39.0307,3255,Annual,1188.77,-5.1,1,7.2,,GM2A,1,,1,-5.1,7.2,1188.77
GM3A,-108.0504,39.0307,3255,Annual,1188.77,-5.1,1,7.2,,GM3A,1,,1,-5.1,7.2,1188.77
GM3B,-108.0504,39.0307,3255,Annual,1188.77,-5.1,1,7.2,,GM3B,1,,1,-5.1,7.2,1188.77
SK1B,-108.0667,39.0405,3234,Annual,1001.62,-4.9,1.2,7.3,,SK1B,1,,1.2,-4.9,7.3,1001.62
SK2B,-108.0667,39.0405,3234,Annual,1001.62,-4.9,1.2,7.3,,SK2B,1,,1.2,-4.9,7.3,1001.62
SK3B,-108.0667,39.0405,3234,Annual,1001.62,-4.9,1.2,7.3,,SK3B,1,,1.2,-4.9,7.3,1001.62
SK4B,-108.0667,39.0405,3234,Annual,1001.62,-4.9,1.2,7.3,,SK4B,1,,1.2,-4.9,7.3,1001.62
SW1A,-108.0667,39.0407,3234,Annual,1001.62,-4.9,1.2,7.3,,SW1A,1,,1.2,-4.9,7.3,1001.62
SW1B,-108.0667,39.0407,3234,Annual,1001.62,-4.9,1.2,7.3,,SW1B,1,,1.2,-4.9,7.3,1001.62
SNOTEL.IOANA,-107.2667,41.0541,2344,Annual,637.35,-2.5,4.8,12.1,,SNOTEL.IOANA_G6,0,,4.8,-2.5,12.1,637.35
SNOTEL.IOANA,-106.7101,41.0598,2962,Annual,1219.37,-4.3,1.6,7.5,,SNOTEL.IOANA_A4,0,,1.6,-4.3,7.5,1219.37
SNOTEL.IOANA,-106.7101,41.0598,2962,Annual,1219.37,-4.3,1.6,7.5,,SNOTEL.IOANA_D5,0,,1.6,-4.3,7.5,1219.37
SNOTEL.IOANA,-106.7101,41.0598,2962,Annual,1219.37,-4.3,1.6,7.5,,SNOTEL.IOANA_F5,0,,1.6,-4.3,7.5,1219.37
SNOTEL.IOANA,-106.9692,41.1542,2878,Annual,1215.76,-4.1,2,8,,SNOTEL.IOANA_D2,0,,2,-4.1,8,1215.76
SNOTEL.IOANA,-106.9692,41.1542,2878,Annual,1215.76,-4.1,2,8,,SNOTEL.IOANA_G2,0,,2,-4.1,8,1215.76
SNOTEL.IOANA,-106.9692,41.1542,2878,Annual,1215.76,-4.1,2,8,,SNOTEL.IOANA_H2,0,,2,-4.1,8,1215.76
SNOTEL.IOANA,-106.9301,41.1599,2852,Annual,1042.86,-3.9,2.2,8.3,,SNOTEL.IOANA_E2,0,,2.2,-3.9,8.3,1042.86
