"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.LBFL21_1_4_5_cm","MAWC.LBFL21_1_4_5_cm","peat",102,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_6_7_cm","MAWC.LBFL21_1_6_7_cm","peat",103,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_8_9_cm","MAWC.LBFL21_1_8_9_cm","peat",104,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_1_2_cm","MAWC.LBFL21_2_1_2_cm","peat",105,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_11_12_cm","MAWC.LBFL21_2_11_12_cm","peat",106,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_13_14_cm","MAWC.LBFL21_2_13_14_cm","peat",107,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_15_16_cm","MAWC.LBFL21_2_15_16_cm","peat",108,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_17_18_cm","MAWC.LBFL21_2_17_18_cm","peat",109,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_19_20_cm","MAWC.LBFL21_2_19_20_cm","peat",110,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_21_22_cm","MAWC.LBFL21_2_21_22_cm","peat",111,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_23_24_cm","MAWC.LBFL21_2_23_24_cm","peat",112,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_25_26_cm","MAWC.LBFL21_2_25_26_cm","peat",113,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_27_28_cm","MAWC.LBFL21_2_27_28_cm","peat",114,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_29_30_cm","MAWC.LBFL21_2_29_30_cm","peat",115,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_3_4_cm","MAWC.LBFL21_2_3_4_cm","peat",116,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_5_6_cm","MAWC.LBFL21_2_5_6_cm","peat",117,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_7_8_cm","MAWC.LBFL21_2_7_8_cm","peat",118,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_9_10_cm","MAWC.LBFL21_2_9_10_cm","peat",119,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_warm_15_16_cm","MAWC.LBFL21_2_warm_15_16_cm","peat",120,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_warm_25_26_cm","MAWC.LBFL21_2_warm_25_26_cm","peat",121,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_warm_29_30_cm","MAWC.LBFL21_2_warm_29_30_cm","peat",122,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_warm_5_6_cm","MAWC.LBFL21_2_warm_5_6_cm","peat",123,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_1_2_cm","MAWC.LBFL21_3_1_2_cm","peat",124,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_11_12_cm","MAWC.LBFL21_3_11_12_cm","peat",125,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_13_14_cm","MAWC.LBFL21_3_13_14_cm","peat",126,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_15_16_cm","MAWC.LBFL21_3_15_16_cm","peat",127,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_17_18_cm","MAWC.LBFL21_3_17_18_cm","peat",128,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_19_20_cm","MAWC.LBFL21_3_19_20_cm","peat",129,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_21_22_cm","MAWC.LBFL21_3_21_22_cm","peat",130,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_23_24_cm","MAWC.LBFL21_3_23_24_cm","peat",131,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_25_26_cm","MAWC.LBFL21_3_25_26_cm","peat",132,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_3_4_cm","MAWC.LBFL21_3_3_4_cm","peat",133,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_5_6_cm","MAWC.LBFL21_3_5_6_cm","peat",134,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_7_8_cm","MAWC.LBFL21_3_7_8_cm","peat",135,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_9_10_cm","MAWC.LBFL21_3_9_10_cm","peat",136,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.5,-4.4,9.3,562.58,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_warm_19_20_cm","MAWC.LBFL21_3_warm_19_20_cm","peat",137,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_3_warm_3_4_cm","MAWC.LBFL21_3_warm_3_4_cm","peat",138,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_1_2_cm","MAWC.LBFL21_4_1_2_cm","peat",139,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_11_12_cm","MAWC.LBFL21_4_11_12_cm","peat",140,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_13_14_cm","MAWC.LBFL21_4_13_14_cm","peat",141,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_15_16_cm","MAWC.LBFL21_4_15_16_cm","peat",142,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_17_18_cm","MAWC.LBFL21_4_17_18_cm","peat",143,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_19_20_cm","MAWC.LBFL21_4_19_20_cm","peat",144,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_21_22_cm","MAWC.LBFL21_4_21_22_cm","peat",145,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_23_24_cm","MAWC.LBFL21_4_23_24_cm","peat",146,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_3_4_cm","MAWC.LBFL21_4_3_4_cm","peat",147,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_5_6_cm","MAWC.LBFL21_4_5_6_cm","peat",148,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_7_8_cm","MAWC.LBFL21_4_7_8_cm","peat",149,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_4_9_10_cm","MAWC.LBFL21_4_9_10_cm","peat",150,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_5_10_11_cm","MAWC.LBFL21_5_10_11_cm","peat",151,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_5_12_13_cm","MAWC.LBFL21_5_12_13_cm","peat",152,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_5_2_3_cm","MAWC.LBFL21_5_2_3_cm","peat",156,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_5_4_5_cm","MAWC.LBFL21_5_4_5_cm","peat",159,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.1,-7.8,8,576.92,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_5_6_7_cm","MAWC.LBFL21_5_6_7_cm","peat",160,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",0.1,-7.8,8,576.92,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LF1B","MAWC.LF1B","peat",162,"Libby Flats",NA,41.334433,-106.286006,3219,"",5,7,NA,"16.18","system water temperature",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LF2B","MAWC.LF2B","peat",163,"Libby Flats",NA,41.334433,-106.286006,3219,"",5,7,NA,"16.18","system water temperature",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LF3B","MAWC.LF3B","peat",164,"Libby Flats",NA,41.334433,-106.286006,3219,"",5,7,NA,"16.18","system water temperature",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LF4B","MAWC.LF4B","peat",165,"Libby Flats",NA,41.334433,-106.286006,3219,"",5,7,NA,"16.18","system water temperature",-0.3,-6.2,5.5,1034.57,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI1A","MAWC.LI1A","peat",166,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",3,5,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI1B","MAWC.LI1B","peat",167,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",59,61,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI2A","MAWC.LI2A","peat",168,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",3,5,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI2B","MAWC.LI2B","peat",169,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",81,83,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI3A","MAWC.LI3A","peat",170,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",3,5,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI3B","MAWC.LI3B","peat",171,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",12,14,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI4A","MAWC.LI4A","peat",172,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",3,5,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LI4B","MAWC.LI4B","peat",173,"Libby Flats (main)",NA,41.320984,-106.278531,3195,"",12,14,NA,"13.76","system water temperature",-0.1,-6,5.8,1009.6,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL1A_J","MAWC.LL1A_J","peat",174,"Lily Lake",NA,44.949021,-109.715581,2341,"",3,5,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL1B_J","MAWC.LL1B_J","peat",175,"Lily Lake",NA,44.949021,-109.715581,2341,"",28,30,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL2A_J","MAWC.LL2A_J","peat",176,"Lily Lake",NA,44.949021,-109.715581,2341,"",3,5,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL2B_J","MAWC.LL2B_J","peat",177,"Lily Lake",NA,44.949021,-109.715581,2341,"",34,36,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL3A_J","MAWC.LL3A_J","peat",178,"Lily Lake",NA,44.949021,-109.715581,2341,"",3,5,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL4A_J","MAWC.LL4A_J","peat",180,"Lily Lake",NA,44.949021,-109.715581,2341,"",3,5,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LL4B_J","MAWC.LL4B_J","peat",181,"Lily Lake",NA,44.949021,-109.715581,2341,"",70,72,NA,"11.1","system water temperature",2.2,-4.5,8.8,655.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY1A_S","MAWC.LY1A_S","peat",182,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",3,5,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY1B_S","MAWC.LY1B_S","peat",183,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",9,11,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY2A_S","MAWC.LY2A_S","peat",184,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",3,5,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY2B_S","MAWC.LY2B_S","peat",185,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",11,13,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY3B_S","MAWC.LY3B_S","peat",186,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",5,7,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY4A_S","MAWC.LY4A_S","peat",187,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",3,5,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LY4B_S","MAWC.LY4B_S","peat",188,"Lily Lake (BTNF)",NA,43.770437,-110.326871,2456,"",5,7,NA,"9","system water temperature",1.8,-5.4,9.1,607.21,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ1A","MAWC.LZ1A","peat",189,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",3,5,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ1B","MAWC.LZ1B","peat",190,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",NA,NA,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ2A","MAWC.LZ2A","peat",191,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",3,5,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ3A","MAWC.LZ3A","peat",193,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",3,5,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ3B","MAWC.LZ3B","peat",194,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",15,17,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ4A","MAWC.LZ4A","peat",195,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",3,5,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LZ4B","MAWC.LZ4B","peat",196,"Lizard Head fen",NA,37.834749,-107.906096,3327,"",14,16,NA,"12.71","system water temperature",2.2,-4.2,8.7,877.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB1A","MAWC.MB1A","peat",197,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",3,5,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB2B","MAWC.MB2B","peat",198,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",5,7,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB3A","MAWC.MB3A","peat",199,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",3,5,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB3B","MAWC.MB3B","peat",200,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",15,17,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB4A","MAWC.MB4A","peat",201,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",3,5,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB4B","MAWC.MB4B","peat",202,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",5,7,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB5A","MAWC.MB5A","peat",203,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",3,5,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MB5B","MAWC.MB5B","peat",204,"Medicine Bow fen",NA,41.349467,-106.233236,3176,"",5,7,NA,"11","system water temperature",0.6,-5.4,6.6,882.15,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME1B_S","MAWC.ME1B_S","peat",206,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",11,13,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME2A_S","MAWC.ME2A_S","peat",207,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",3,5,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME2B_S","MAWC.ME2B_S","peat",208,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",19,21,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME3A_S","MAWC.ME3A_S","peat",209,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",3,5,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME3B_S","MAWC.ME3B_S","peat",210,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",10,12,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME4A_S","MAWC.ME4A_S","peat",211,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",3,5,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ME4B_S","MAWC.ME4B_S","peat",212,"Meadow Lake fen",NA,44.925679,-109.546481,3011,"",7,9,NA,"17","system water temperature",-0.5,-6,5,990.51,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML1A_J","MAWC.ML1A_J","peat",213,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",3,5,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML1B_J","MAWC.ML1B_J","peat",214,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",29,31,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML2A_J","MAWC.ML2A_J","peat",215,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",3,5,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML3A_J","MAWC.ML3A_J","peat",216,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",3,5,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML3B_J","MAWC.ML3B_J","peat",217,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",29,31,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML4A_J","MAWC.ML4A_J","peat",218,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",3,5,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML4B_J","MAWC.ML4B_J","peat",219,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",24,26,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
