"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.CO1B","MAWC.CO1B","peat",27,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",30,32,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO2A","MAWC.CO2A","peat",28,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO2B","MAWC.CO2B","peat",29,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",46,48,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO3A","MAWC.CO3A","peat",30,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO3B","MAWC.CO3B","peat",31,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",45,47,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO4A","MAWC.CO4A","peat",32,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO4B","MAWC.CO4B","peat",33,"Coney Creek",NA,44.609511,-107.303289,2576,"access from west site instead of east side when leaving laramie for bighorns",44,46,NA,"17.5","system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP1A","MAWC.CP1A","peat",34,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP1B","MAWC.CP1B","peat",35,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",52,54,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP2A","MAWC.CP2A","peat",36,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
